SK_ID_CURR,neighbors_target_mean_500
266419,0.036
266420,0.032
266421,0.03
266423,0.094
266425,0.084
266426,0.098
266427,0.066
266428,0.04
266429,0.052
266431,0.03
266432,0.054
266434,0.03
266435,0.032
266436,0.06
266437,0.13
266438,0.036
266439,0.066
266441,0.09
266443,0.04
266445,0.006
266446,0.064
266447,0.02
266448,0.108
266449,0.024
266450,0.048
266451,0.132
266452,0.07
266454,0.054
266456,0.032
266457,0.028
266458,0.032
266459,0.024
266460,0.038
266464,0.178
266467,0.174
266469,0.094
266470,0.104
266473,0.114
266474,0.042
266476,0.048
266477,0.184
266478,0.058
266480,0.246
266481,0.062
266483,0.028
266485,0.038
266486,0.032
266487,0.242
266488,0.026
266489,0.062
266490,0.04
266491,0.194
266492,0.094
266493,0.102
266494,0.078
266495,0.078
266496,0.064
266497,0.098
266498,0.11
266500,0.036
266501,0.096
266502,0.052
266503,0.066
266505,0.026
266506,0.136
266508,0.05
266511,0.022
266512,0.036
266513,0.022
266515,0.1
266516,0.236
266517,0.024
266518,0.056
266519,0.038
266521,0.028
266522,0.028
266524,0.082
266526,0.052
266529,0.066
266531,0.066
266532,0.146
266534,0.216
266535,0.07
266537,0.036
266538,0.052
266540,0.128
266541,0.23
266542,0.042
266545,0.038
266546,0.088
266547,0.044
266548,0.024
266554,0.186
266557,0.146
266558,0.054
266559,0.09
266560,0.212
266562,0.024
266563,0.072
266564,0.048
266566,0.036
266567,0.106
266568,0.034
266569,0.076
266570,0.134
266571,0.2
266572,0.048
266574,0.018
266575,0.084
266576,0.074
266581,0.052
266582,0.018
266583,0.038
266585,0.108
266586,0.014
266587,0.184
266588,0.058
266589,0.116
266591,0.05
266593,0.068
266594,0.06
266595,0.014
266598,0.028
266599,0.034
266600,0.19
266601,0.066
266603,0.058
266604,0.07
266605,0.106
266606,0.082
266607,0.024
266609,0.026
266610,0.104
266611,0.048
266612,0.106
266615,0.024
266616,0.074
266617,0.014
266618,0.122
266619,0.108
266620,0.102
266621,0.014
266622,0.172
266623,0.048
266625,0.046
266626,0.068
266627,0.028
266628,0.05
266630,0.068
266631,0.034
266632,0.05
266633,0.04
266634,0.046
266636,0.08
266637,0.092
266638,0.22
266639,0.126
266640,0.058
266641,0.062
266642,0.018
266643,0.068
266645,0.048
266646,0.046
266647,0.084
266651,0.04
266652,0.12
266653,0.068
266654,0.014
266655,0.244
266656,0.266
266657,0.066
266658,0.01
266660,0.028
266661,0.134
266662,0.166
266663,0.052
266667,0.07
266669,0.05
266671,0.082
266672,0.038
266673,0.078
266675,0.042
266676,0.034
266677,0.008
266679,0.016
266681,0.082
266684,0.058
266685,0.1
266687,0.19
266688,0.074
266689,0.202
266690,0.092
266691,0.092
266693,0.034
266694,0.332
266696,0.092
266697,0.054
266699,0.09
266700,0.052
266701,0.04
266702,0.148
266703,0.064
266704,0.144
266705,0.118
266706,0.034
266707,0.112
266708,0.05
266710,0.036
266711,0.134
266712,0.058
266713,0.056
266715,0.034
266716,0.182
266717,0.064
266718,0.062
266719,0.094
266720,0.098
266721,0.044
266725,0.098
266726,0.024
266727,0.034
266728,0.022
266729,0.134
266731,0.032
266733,0.046
266736,0.066
266737,0.06
266738,0.13
266739,0.042
266741,0.05
266742,0.062
266743,0.018
266746,0.014
266747,0.032
266748,0.124
266754,0.016
266755,0.016
266756,0.058
266757,0.008
266758,0.1
266760,0.036
266764,0.024
266765,0.33
266767,0.066
266768,0.022
266769,0.02
266772,0.022
266773,0.026
266776,0.062
266777,0.18
266778,0.198
266779,0.058
266780,0.022
266781,0.024
266782,0.05
266785,0.034
266786,0.04
266788,0.02
266793,0.026
266794,0.024
266795,0.062
266796,0.256
266797,0.174
266799,0.242
266801,0.156
266802,0.056
266804,0.032
266806,0.02
266807,0.132
266808,0.076
266809,0.034
266810,0.062
266811,0.058
266814,0.076
266818,0.052
266822,0.032
266823,0.14
266824,0.084
266825,0.086
266826,0.04
266827,0.032
266828,0.074
266830,0.022
266831,0.014
266834,0.13
266835,0.022
266836,0.19
266837,0.034
266838,0.028
266839,0.086
266840,0.086
266841,0.274
266843,0.054
266846,0.024
266849,0.062
266850,0.018
266851,0.146
266852,0.188
266853,0.04
266854,0.11
266855,0.008
266856,0.284
266859,0.082
266860,0.054
266861,0.042
266863,0.06
266864,0.202
266866,0.028
266868,0.21
266869,0.056
266870,0.054
266871,0.052
266872,0.04
266873,0.056
266875,0.018
266876,0.05
266878,0.124
266879,0.118
266881,0.086
266883,0.03
266887,0.028
266891,0.016
266893,0.104
266895,0.096
266896,0.056
266897,0.028
266898,0.288
266899,0.132
266901,0.098
266902,0.034
266903,0.116
266904,0.04
266905,0.07
266906,0.038
266907,0.158
266908,0.052
266909,0.012
266910,0.026
266912,0.11
266914,0.22
266915,0.04
266917,0.044
266918,0.1
266919,0.052
266920,0.19
266921,0.194
266922,0.176
266923,0.024
266924,0.054
266926,0.07
266930,0.028
266933,0.17
266935,0.086
266936,0.02
266937,0.032
266938,0.062
266940,0.066
266943,0.026
266944,0.032
266945,0.112
266946,0.066
266947,0.1
266949,0.022
266950,0.032
266951,0.024
266952,0.224
266953,0.064
266954,0.034
266956,0.122
266958,0.034
266962,0.076
266963,0.028
266964,0.16
266965,0.032
266966,0.052
266967,0.066
266969,0.022
266970,0.114
266971,0.046
266972,0.052
266973,0.03
266978,0.106
266979,0.066
266980,0.112
266981,0.026
266982,0.07
266986,0.036
266987,0.028
266988,0.106
266989,0.16
266990,0.044
266991,0.074
266992,0.302
266993,0.036
266994,0.176
266998,0.09
267001,0.056
267002,0.136
267003,0.108
267004,0.22
267006,0.07
267007,0.2
267008,0.144
267009,0.166
267011,0.018
267012,0.02
267014,0.126
267015,0.06
267016,0.312
267017,0.094
267018,0.074
267019,0.124
267020,0.17
267021,0.054
267022,0.186
267024,0.054
267025,0.034
267026,0.132
267027,0.048
267028,0.17
267029,0.062
267032,0.016
267033,0.192
267036,0.118
267037,0.04
267038,0.05
267039,0.062
267040,0.098
267041,0.142
267042,0.042
267044,0.136
267045,0.052
267047,0.024
267048,0.056
267049,0.048
267051,0.026
267052,0.106
267053,0.04
267054,0.048
267057,0.05
267060,0.072
267061,0.112
267062,0.03
267063,0.078
267065,0.068
267066,0.266
267067,0.042
267068,0.102
267069,0.078
267071,0.13
267072,0.018
267073,0.072
267074,0.018
267076,0.164
267077,0.04
267078,0.016
267081,0.18
267082,0.012
267083,0.024
267084,0.054
267085,0.086
267088,0.048
267089,0.014
267091,0.014
267092,0.012
267095,0.024
267096,0.016
267097,0.188
267099,0.056
267100,0.006
267104,0.174
267106,0.034
267109,0.026
267110,0.012
267111,0.066
267112,0.1
267114,0.19
267115,0.12
267116,0.036
267117,0.024
267121,0.024
267122,0.012
267123,0.052
267125,0.364
267128,0.162
267129,0.094
267132,0.056
267133,0.068
267138,0.088
267139,0.096
267140,0.062
267141,0.058
267144,0.022
267145,0.066
267146,0.12
267147,0.098
267150,0.1
267151,0.022
267152,0.084
267153,0.142
267154,0.174
267156,0.038
267157,0.052
267158,0.032
267159,0.092
267161,0.036
267162,0.042
267163,0.05
267164,0.044
267165,0.082
267166,0.058
267167,0.082
267168,0.05
267169,0.11
267170,0.05
267171,0.032
267174,0.08
267175,0.074
267176,0.062
267178,0.044
267179,0.046
267181,0.148
267183,0.03
267185,0.018
267187,0.3
267188,0.024
267189,0.172
267193,0.042
267194,0.062
267199,0.02
267202,0.03
267203,0.024
267204,0.078
267205,0.09
267206,0.066
267209,0.042
267210,0.066
267213,0.082
267214,0.148
267215,0.062
267216,0.05
267217,0.218
267218,0.068
267219,0.214
267222,0.038
267223,0.034
267225,0.058
267226,0.05
267227,0.052
267229,0.02
267230,0.044
267232,0.078
267234,0.026
267236,0.126
267240,0.088
267243,0.07
267244,0.114
267245,0.036
267246,0.05
267248,0.05
267249,0.036
267250,0.086
267251,0.05
267252,0.074
267254,0.072
267256,0.05
267257,0.044
267261,0.042
267262,0.082
267263,0.19
267267,0.22
267268,0.08
267270,0.04
267274,0.052
267276,0.128
267277,0.172
267278,0.142
267279,0.11
267283,0.032
267285,0.054
267286,0.086
267287,0.132
267289,0.208
267290,0.038
267291,0.038
267292,0.022
267293,0.034
267295,0.11
267296,0.166
267297,0.156
267299,0.164
267300,0.108
267301,0.03
267302,0.124
267303,0.012
267305,0.02
267306,0.056
267307,0.19
267308,0.214
267309,0.03
267310,0.032
267311,0.024
267312,0.05
267313,0.012
267314,0.14
267315,0.036
267317,0.082
267318,0.022
267319,0.042
267320,0.024
267321,0.088
267322,0.11
267325,0.028
267326,0.208
267328,0.08
267330,0.036
267331,0.032
267332,0.056
267334,0.036
267336,0.026
267337,0.02
267339,0.054
267340,0.056
267343,0.046
267346,0.048
267349,0.178
267350,0.046
267351,0.024
267352,0.034
267354,0.016
267355,0.078
267356,0.052
267357,0.1
267358,0.014
267360,0.136
267362,0.028
267363,0.054
267365,0.012
267366,0.162
267367,0.188
267369,0.196
267370,0.036
267371,0.134
267375,0.024
267376,0.02
267377,0.032
267378,0.18
267381,0.044
267383,0.106
267385,0.026
267386,0.082
267387,0.166
267388,0.086
267391,0.096
267392,0.038
267393,0.136
267395,0.046
267396,0.072
267397,0.084
267398,0.106
267399,0.2
267400,0.08
267401,0.078
267402,0.014
267404,0.044
267406,0.034
267407,0.088
267408,0.022
267409,0.096
267410,0.044
267411,0.026
267413,0.064
267414,0.326
267415,0.036
267416,0.158
267417,0.296
267418,0.058
267419,0.206
267420,0.038
267423,0.08
267424,0.112
267425,0.19
267426,0.04
267427,0.022
267428,0.174
267429,0.068
267430,0.1
267431,0.056
267432,0.052
267433,0.066
267434,0.038
267435,0.04
267436,0.108
267439,0.062
267440,0.012
267445,0.094
267447,0.056
267448,0.068
267449,0.078
267450,0.13
267451,0.07
267452,0.096
267453,0.014
267454,0.06
267455,0.042
267456,0.092
267457,0.048
267458,0.046
267459,0.062
267461,0.072
267462,0.044
267465,0.034
267467,0.06
267468,0.206
267471,0.058
267473,0.046
267475,0.088
267476,0.138
267477,0.18
267478,0.122
267479,0.042
267480,0.044
267482,0.108
267483,0.058
267484,0.008
267485,0.026
267486,0.038
267487,0.048
267492,0.104
267493,0.174
267494,0.086
267497,0.264
267498,0.068
267502,0.03
267504,0.012
267506,0.042
267507,0.018
267509,0.172
267510,0.05
267511,0.192
267514,0.024
267516,0.024
267517,0.042
267519,0.036
267520,0.03
267523,0.058
267525,0.098
267526,0.102
267527,0.106
267528,0.03
267529,0.124
267530,0.058
267531,0.128
267534,0.018
267536,0.134
267537,0.198
267540,0.07
267541,0.066
267543,0.094
267545,0.092
267546,0.1
267548,0.136
267551,0.032
267552,0.07
267554,0.14
267555,0.1
267556,0.12
267557,0.032
267560,0.164
267561,0.034
267562,0.016
267565,0.062
267566,0.014
267567,0.164
267569,0.082
267571,0.068
267573,0.04
267574,0.006
267575,0.04
267576,0.116
267577,0.224
267578,0.038
267579,0.056
267580,0.052
267582,0.014
267583,0.032
267585,0.092
267587,0.036
267589,0.136
267590,0.034
267591,0.122
267593,0.048
267594,0.082
267595,0.058
267596,0.034
267598,0.07
267599,0.054
267602,0.056
267603,0.022
267604,0.068
267605,0.072
267606,0.044
267609,0.046
267610,0.012
267613,0.038
267614,0.136
267615,0.012
267616,0.028
267617,0.16
267618,0.03
267619,0.128
267621,0.08
267622,0.044
267624,0.124
267626,0.036
267627,0.254
267630,0.048
267631,0.124
267632,0.032
267634,0.062
267635,0.138
267636,0.026
267637,0.09
267638,0.04
267640,0.044
267641,0.026
267642,0.182
267644,0.076
267645,0.126
267647,0.012
267648,0.024
267650,0.024
267652,0.028
267653,0.068
267654,0.09
267655,0.032
267656,0.026
267657,0.01
267658,0.024
267660,0.03
267661,0.058
267663,0.102
267664,0.022
267665,0.084
267666,0.07
267667,0.088
267669,0.144
267670,0.296
267673,0.156
267674,0.156
267676,0.064
267678,0.112
267681,0.098
267683,0.144
267685,0.016
267686,0.006
267688,0.036
267691,0.024
267692,0.126
267693,0.016
267694,0.116
267695,0.028
267696,0.05
267698,0.136
267699,0.034
267700,0.074
267701,0.09
267702,0.15
267703,0.046
267704,0.016
267705,0.172
267706,0.01
267708,0.05
267710,0.03
267711,0.1
267712,0.028
267713,0.022
267714,0.048
267715,0.088
267717,0.06
267718,0.036
267719,0.038
267720,0.078
267721,0.22
267722,0.022
267723,0.066
267724,0.048
267726,0.026
267727,0.074
267728,0.048
267729,0.064
267730,0.054
267732,0.02
267733,0.018
267735,0.026
267736,0.052
267737,0.18
267739,0.06
267741,0.03
267742,0.062
267743,0.226
267745,0.05
267746,0.106
267747,0.054
267748,0.08
267749,0.034
267750,0.018
267751,0.058
267756,0.048
267759,0.016
267760,0.07
267763,0.184
267764,0.092
267765,0.102
267766,0.082
267768,0.098
267769,0.018
267770,0.022
267772,0.24
267773,0.05
267774,0.018
267776,0.05
267777,0.024
267778,0.052
267779,0.044
267781,0.21
267782,0.022
267783,0.062
267784,0.134
267785,0.038
267786,0.182
267787,0.038
267788,0.124
267789,0.036
267790,0.1
267791,0.042
267792,0.056
267793,0.08
267794,0.034
267795,0.182
267796,0.12
267797,0.02
267798,0.042
267799,0.022
267800,0.098
267802,0.07
267803,0.016
267804,0.054
267805,0.074
267806,0.086
267809,0.06
267810,0.134
267811,0.118
267812,0.044
267814,0.162
267816,0.124
267817,0.078
267818,0.108
267819,0.102
267820,0.046
267821,0.022
267822,0.058
267825,0.114
267827,0.056
267828,0.074
267829,0.152
267831,0.02
267832,0.086
267836,0.04
267838,0.194
267839,0.024
267840,0.024
267845,0.094
267846,0.052
267848,0.07
267849,0.076
267850,0.016
267852,0.024
267854,0.188
267856,0.056
267858,0.03
267859,0.086
267860,0.188
267861,0.112
267862,0.124
267863,0.034
267864,0.046
267865,0.058
267866,0.068
267867,0.022
267868,0.146
267870,0.04
267871,0.06
267872,0.058
267873,0.056
267874,0.048
267876,0.2
267877,0.032
267879,0.046
267880,0.014
267882,0.198
267884,0.032
267886,0.02
267888,0.078
267889,0.14
267891,0.08
267893,0.158
267894,0.032
267896,0.016
267898,0.038
267900,0.056
267903,0.038
267904,0.022
267907,0.086
267908,0.078
267909,0.094
267910,0.036
267913,0.026
267914,0.034
267915,0.042
267916,0.02
267918,0.084
267920,0.026
267921,0.136
267923,0.056
267925,0.034
267926,0.024
267928,0.032
267929,0.112
267931,0.062
267932,0.06
267933,0.076
267936,0.118
267937,0.118
267938,0.032
267940,0.096
267941,0.11
267942,0.034
267943,0.072
267944,0.104
267945,0.042
267946,0.094
267948,0.044
267949,0.03
267952,0.024
267953,0.06
267954,0.2
267955,0.044
267956,0.052
267957,0.092
267958,0.06
267960,0.122
267961,0.03
267962,0.038
267963,0.028
267964,0.042
267967,0.062
267968,0.046
267969,0.19
267970,0.052
267972,0.09
267973,0.112
267974,0.018
267975,0.054
267977,0.206
267978,0.066
267979,0.11
267980,0.006
267981,0.04
267982,0.052
267984,0.044
267985,0.034
267986,0.032
267987,0.308
267989,0.05
267991,0.034
267992,0.07
267993,0.066
267995,0.022
267996,0.044
267997,0.2
268000,0.028
268002,0.096
268003,0.046
268004,0.096
268005,0.118
268006,0.038
268008,0.102
268011,0.034
268015,0.038
268017,0.03
268018,0.03
268019,0.068
268021,0.028
268022,0.188
268023,0.028
268024,0.044
268025,0.028
268026,0.014
268027,0.012
268029,0.026
268030,0.034
268031,0.026
268033,0.196
268034,0.004
268035,0.072
268036,0.014
268037,0.036
268038,0.026
268040,0.048
268042,0.096
268043,0.026
268045,0.04
268047,0.078
268048,0.086
268051,0.008
268053,0.082
268054,0.082
268055,0.12
268057,0.038
268058,0.028
268060,0.066
268061,0.09
268062,0.04
268063,0.052
268065,0.086
268067,0.016
268068,0.326
268069,0.174
268070,0.024
268071,0.134
268072,0.092
268074,0.054
268075,0.046
268076,0.018
268078,0.08
268079,0.108
268080,0.13
268081,0.028
268082,0.04
268083,0.054
268084,0.26
268086,0.04
268087,0.03
268088,0.012
268089,0.298
268091,0.122
268093,0.024
268094,0.04
268095,0.108
268096,0.26
268097,0.086
268098,0.286
268099,0.088
268100,0.032
268101,0.022
268102,0.04
268103,0.034
268104,0.168
268105,0.02
268106,0.028
268108,0.184
268110,0.032
268111,0.22
268113,0.226
268114,0.078
268115,0.066
268116,0.024
268117,0.038
268118,0.024
268119,0.102
268120,0.044
268121,0.078
268122,0.042
268123,0.018
268125,0.08
268126,0.066
268127,0.034
268129,0.066
268130,0.036
268131,0.038
268132,0.028
268133,0.21
268134,0.29
268135,0.032
268136,0.038
268137,0.022
268138,0.018
268140,0.072
268141,0.03
268142,0.21
268143,0.206
268144,0.048
268146,0.044
268148,0.152
268149,0.076
268154,0.026
268156,0.06
268158,0.044
268159,0.052
268164,0.052
268167,0.02
268168,0.016
268170,0.118
268171,0.08
268172,0.03
268173,0.14
268174,0.024
268176,0.026
268177,0.014
268178,0.01
268179,0.068
268180,0.064
268181,0.072
268182,0.076
268183,0.182
268184,0.072
268186,0.072
268188,0.092
268191,0.09
268193,0.14
268194,0.306
268195,0.062
268196,0.084
268197,0.206
268198,0.076
268199,0.176
268200,0.032
268201,0.038
268203,0.03
268204,0.004
268205,0.032
268206,0.07
268207,0.094
268208,0.034
268209,0.036
268210,0.18
268212,0.274
268215,0.138
268216,0.014
268217,0.052
268218,0.022
268219,0.152
268222,0.03
268223,0.172
268224,0.088
268226,0.198
268229,0.224
268231,0.018
268233,0.062
268234,0.126
268236,0.09
268237,0.034
268238,0.082
268240,0.036
268242,0.022
268245,0.066
268246,0.122
268249,0.022
268253,0.012
268254,0.268
268256,0.022
268257,0.108
268258,0.048
268259,0.046
268260,0.09
268261,0.088
268263,0.07
268264,0.04
268265,0.02
268266,0.15
268267,0.04
268270,0.056
268272,0.026
268273,0.03
268275,0.242
268277,0.186
268278,0.026
268281,0.05
268282,0.032
268283,0.076
268284,0.222
268285,0.072
268286,0.086
268287,0.15
268288,0.018
268289,0.088
268290,0.11
268292,0.084
268295,0.154
268296,0.16
268298,0.034
268300,0.034
268302,0.03
268304,0.094
268305,0.032
268308,0.048
268309,0.1
268311,0.06
268313,0.222
268314,0.028
268315,0.036
268316,0.128
268318,0.056
268319,0.164
268321,0.064
268322,0.02
268323,0.08
268324,0.026
268325,0.06
268326,0.132
268327,0.09
268330,0.078
268331,0.096
268334,0.142
268335,0.036
268336,0.056
268340,0.054
268341,0.026
268342,0.026
268343,0.18
268344,0.108
268345,0.032
268346,0.054
268347,0.03
268348,0.046
268349,0.04
268350,0.05
268352,0.058
268354,0.02
268355,0.066
268356,0.042
268358,0.05
268359,0.044
268360,0.188
268361,0.046
268362,0.042
268364,0.05
268365,0.2
268366,0.068
268367,0.084
268368,0.098
268369,0.03
268370,0.038
268371,0.054
268372,0.062
268374,0.044
268375,0.018
268376,0.144
268377,0.084
268379,0.024
268381,0.054
268383,0.072
268384,0.134
268385,0.008
268387,0.046
268389,0.05
268391,0.064
268392,0.036
268393,0.024
268395,0.056
268396,0.01
268397,0.068
268398,0.044
268400,0.04
268401,0.164
268402,0.074
268403,0.06
268404,0.036
268405,0.042
268408,0.024
268410,0.076
268412,0.05
268413,0.088
268414,0.066
268416,0.166
268418,0.192
268419,0.106
268420,0.084
268423,0.158
268425,0.032
268428,0.028
268429,0.15
268430,0.03
268431,0.046
268432,0.088
268434,0.01
268435,0.028
268436,0.032
268437,0.006
268440,0.014
268441,0.044
268443,0.146
268444,0.022
268448,0.106
268449,0.044
268450,0.05
268451,0.046
268452,0.038
268453,0.06
268454,0.074
268455,0.042
268457,0.07
268460,0.026
268461,0.052
268462,0.142
268463,0.104
268464,0.168
268467,0.068
268468,0.074
268469,0.078
268470,0.028
268471,0.026
268473,0.062
268474,0.106
268475,0.044
268477,0.022
268479,0.084
268480,0.054
268481,0.096
268483,0.044
268485,0.02
268486,0.044
268488,0.044
268489,0.218
268490,0.042
268492,0.078
268493,0.028
268494,0.026
268496,0.202
268498,0.052
268499,0.05
268501,0.038
268502,0.038
268503,0.284
268505,0.012
268507,0.096
268509,0.172
268510,0.04
268511,0.04
268512,0.028
268514,0.016
268515,0.11
268516,0.042
268517,0.034
268518,0.13
268519,0.064
268521,0.074
268523,0.15
268524,0.034
268526,0.022
268527,0.064
268528,0.228
268529,0.022
268531,0.036
268532,0.098
268533,0.06
268534,0.022
268535,0.072
268536,0.07
268537,0.034
268538,0.038
268539,0.076
268541,0.132
268543,0.018
268544,0.12
268547,0.028
268548,0.066
268549,0.088
268551,0.192
268552,0.28
268553,0.028
268554,0.054
268555,0.024
268556,0.028
268557,0.05
268560,0.086
268561,0.158
268562,0.154
268563,0.03
268564,0.052
268565,0.35
268566,0.038
268569,0.15
268571,0.104
268573,0.042
268574,0.178
268575,0.036
268576,0.026
268577,0.046
268578,0.032
268579,0.046
268580,0.04
268581,0.096
268582,0.046
268583,0.014
268585,0.078
268587,0.072
268588,0.078
268589,0.134
268592,0.036
268594,0.122
268595,0.054
268596,0.028
268597,0.064
268598,0.072
268599,0.05
268600,0.02
268603,0.116
268604,0.068
268606,0.062
268608,0.074
266213,0.02
266214,0.06
266222,0.046
266224,0.018
263908,0.022
263931,0.178
263955,0.012
263970,0.036
264258,0.036
264790,0.04
264957,0.052
264961,0.036
265420,0.032
265621,0.018
265775,0.046
265923,0.174
265967,0.088
266230,0.016
266238,0.022
266248,0.038
266257,0.06
266259,0.032
266270,0.038
266278,0.062
266295,0.252
266314,0.026
266388,0.052
266422,0.042
266472,0.014
266475,0.034
266539,0.092
266549,0.048
266555,0.124
266584,0.02
266592,0.036
266608,0.034
266614,0.076
266648,0.15
266683,0.116
266695,0.062
266723,0.054
266775,0.092
266789,0.058
266829,0.038
266927,0.096
266928,0.094
266957,0.05
266961,0.106
266976,0.018
266995,0.064
266996,0.072
267087,0.018
267090,0.04
267120,0.048
267131,0.03
267149,0.038
267172,0.06
267190,0.03
267196,0.036
267201,0.028
267208,0.054
267211,0.152
